solv_1_sm,solv_2_sm,solv_3_sm,solv_4_sm,salt_sm,solv_ratio_1,solv_ratio_2,solv_ratio_3,solv_ratio_4,conc_salt,temperature,conductivity,conductivity_log
O=C1OCCO1,COC(=O)OC,,,[Li+].F[P-](F)(F)(F)(F)F,0.447058824,0.552941176,0.0,0.0,1.0,25.0,11.700000002296587,1.068185861831409
O=C1OCCO1,CCCCOC(=O)OC,,,[Li+].F[P-](F)(F)(F)(F)F,0.422222222,0.577777778,0.0,0.0,1.0,25.0,5.900000000521125,0.7708520116805038
O=C1OCCO1,CC(C)COC(=O)OC,,,[Li+].F[P-](F)(F)(F)(F)F,0.422222222,0.577777778,0.0,0.0,1.0,25.0,5.400000002320764,0.7323937600096158
O=C1OCCO1,CCC(C)OC(=O)OC,,,[Li+].F[P-](F)(F)(F)(F)F,0.422222222,0.577777778,0.0,0.0,1.0,25.0,6.500000000639655,0.8129133566855938
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1.0,0.0,0.0,0.0,1.0,10.0,2.1000000005683077,0.3222192948514492
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1.0,0.0,0.0,0.0,1.0,20.0,2.5999999999286647,0.4149733479589024
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1.0,0.0,0.0,0.0,1.0,30.0,3.000000000995671,0.4771212548638006
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1.0,0.0,0.0,0.0,1.0,40.0,3.299999998440966,0.5185139396727118
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1.0,0.0,0.0,0.0,0.2,25.0,0.09999999999940462,-1.0000000000025857
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1.0,0.0,0.0,0.0,0.5,25.0,0.8000000002513679,-0.0969100128715968
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1.0,0.0,0.0,0.0,0.75,25.0,1.5999999996068228,0.2041199825492031
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1.0,0.0,0.0,0.0,1.0,25.0,2.1999999991986057,0.3424226806640057
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1.0,0.0,0.0,0.0,1.25,25.0,2.5000000003146123,0.3979400087266914
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1.0,0.0,0.0,0.0,2.0,25.0,2.1000000005683077,0.3222192948514492
CCOC(=O)OC(C)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0
CCOC(=O)OC(C)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1.0,0.0,0.0,0.0,1.0,20.0,1.2999999993922617,0.113943352103808
CCOC(=O)OC(C)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1.0,0.0,0.0,0.0,1.0,30.0,1.5999999996068228,0.2041199825492031
CCOC(=O)OC(C)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1.0,0.0,0.0,0.0,1.0,40.0,1.8999999996724497,0.2787536008779588
CCOC(=O)OC(C)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1.0,0.0,0.0,0.0,1.0,60.0,2.5999999999286647,0.4149733479589024
