CC1COC(=O)O1,UNK_8E1923
O=C1OCCO1,UNK_2243A1
CCOC(=O)OCC,UNK_EB6298
COCCOC,UNK_EE5142
CCOC(=O)OC,UNK_423338
COC(=O)OC,UNK_CFE78F
O=C1CCCO1,UNK_3D1A84
CCOC(=O)C,UNK_6E25A6
O=S1(=O)CCCC1,UNK_FD70BA
C1CCOC1,UNK_A06598
CC1CCCO1,UNK_1FCDFA
CC#N,None
COCCOCCOCCOC,UNK_9846BE
CC(=O)OC,UNK_993E40
C1COCO1,UNK_3A2BB9
COCCOCCOCCOCCOC,UNK_5D61F1
N#CCCC#N,None
C1COB(OCCOB2OCCCO2)OC1,None
COCOC,UNK_32E5B4
ClCCl,UNK_B7D344
Cc1ccccc1,UNK_2A19A9
COCCOCCOC,UNK_631849
CS(=O)C,UNK_234E9D
N#CCCCCC#N,None
FC(F)C(F)(F)COC(F)(F)C(F)F,UNK_EA048F
FC1COC(=O)O1,UNK_6C9D37
COC(=O)OCF,UNK_DDC9FD
CCOCCOCC,UNK_9C7D62
C1=CC=NC(=C1)C#N,UNK_85FAD9
CCCC#N,None
COCCOCC(F)(F)F,UNK_F0BB40
CCS(C)(=O)=O,UNK_5BDBCB
N#CCCCC#N,None
CCS(=O)(=O)CC1CCCCC1,UNK_FFAF94
C[Si](C)(C)O[Si](C)(CCC1COC(=O)O1)O[Si](C)(C)C,UNK_41E336
COC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,UNK_9C03AE
CC1CCS(=O)(=O)C1,UNK_95E14E
C[Si](C)(C)OCCC#N,UNK_942E4D
C1(C(OC(=O)O1)F)F,UNK_3592EC
CCCOC(=O)OC,UNK_3F4BA4
C[Si](C)(C)O[Si](C)(C)CCC1COC(=O)O1,UNK_19A3EE
O=C1OCCC1F,UNK_07AD75
FC(F)(F)C(F)(F)COC(F)(F)C(F)(F)F,UNK_8521A1
FC(F)(F)COCCOCC(F)(F)F,UNK_98712A
N#CCCOB(OCCC#N)OCCC#N,None
COCCOCC(F)(F)C(F)F,UNK_FBBB7F
CCCCOCCOCCCC,UNK_B8ACEF
COC(=O)OCCF,UNK_2BCEFA
CCCCCCCCCCC1COC(=O)O1,UNK_FE896F
CCCCCCCCCC1COC(=O)O1,UNK_8BA3A6
CCCCCCCCC1COC(=O)O1,UNK_FF05F6
CCCCCCC1COC(=O)O1,UNK_5C77D1
CCOCC,UNK_1DB67F
COB(OC)OC,None
O=C1CC(F)CO1,UNK_9C960F
CN(C)S(=O)(=O)C,UNK_5EFB32
FC(F)C(F)(F)COCCOCC(F)(F)C(F)F,UNK_06A26B
CCCC[N+]1(CCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,None
CS(N)(=O)=O,UNK_1531CB
CCOCCOC,UNK_04ED60
O=C(OCF)OCF,UNK_4D133F
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,UNK_932227
C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,UNK_39FDE4
CCOC(=O)OC(C)F,UNK_6A72F2
C(F)(Cl)(Cl)Cl,None
CCOC(=O)OCCF,UNK_902AB8
CC1CCC(O1)C,UNK_2AC15F
CC(OC(=O)OCC(F)(F)F)F,UNK_27202D
COC=O,UNK_8921DE
[Li+].F[P-](F)(F)(F)(F)F,None
[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,None
[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,None
[Li+].F[As-](F)(F)(F)(F)F,None
CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,None
[B-](F)(F)(F)F.CC[N+](CC)(CC)CC,None
[Li+].[B-](F)(F)(F)F,None
[Li+].[O-]Cl(=O)(=O)=O,None
[Li+].C(F)(F)(F)S(=O)(=O)[O-],None
[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,None
[Li+].FC(F)(F)C1=NC2=C([N-]1)C=C(C#N)C(=C2)C#N,None
[Li+].[B-]1(OC(=O)C(=O)O1)(F)F,None
[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,None
[B-](F)(F)(F)F.CC[N+](C)(CC)CC,None
[O-]S(=O)(=O)C(F)(F)F.CCCC[N+](CCCC)(CCCC)CCCC,None
CCN1C=C[N+](=C1)C.[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,None
CCN1C=C[N+](=C1)C.O=C1O[B-](F)(F)OC1=O,None
CC[N+](CC)(CC)CC.[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,None
CC[N+](CC)(CC)CC.O=C1O[B-](F)(F)OC1=O,None
