编号,SMILES字符串,频次,能否买到,试剂公司,售价（2025.7.29）,包装规格,购买周期,分子式,学名
-----------,,,,,,,,,
0,CC1COC(=O)O1,5855,能,Aladdin,￥305.90,"100g（99.7%,无水级）",现货,C4H6O3,碳酸丙烯酯(PC)
1,O=C1OCCO1,2877,能,Aladdin,￥99.90,"100g（99%,电子级）",现货,C3H4O3,碳酸乙烯酯（Ethylene carbonate）
2,CCOC(=O)OCC,2482,能,Aladdin,￥31.90,100ml（99%）,现货,C5H10O3,碳酸二乙酯（DEC）
3,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,754,能,Aladdin,￥51.90,5g(98%),现货,C8H20F6NP,四乙基六氟磷酸铵（Tetraethylammonium hexafluorophosphate）
4,[B-](F)(F)(F)F.CC[N+](CC)(CC)CC,733,能,Aladdin,￥35.90,5g(99%),现货,C8H20N.BF4,四乙基四氟硼酸铵（Tetraethylammonium tetrafluoroborate）
5,COCCOC,719,能,Aladdin,￥39.90,5g(98%),现货,C9H20O5,四乙二醇单甲醚（Tetraethyleneglycol monomethyl ether）
6,CCOC(=O)OC,673,能,Aladdin,￥64.90,25ml（≥98%),现货,C4H8O3,碳酸甲乙酯（Ethyl methyl carbonate）
7,COC(=O)OC,581,能,Aladdin,￥219.90,"100ml（99%,电子级）",现货,C3H6O3,碳酸二甲酯（DMC）
8,O=C1CCCO1,474,能,Sigma-Aldrich,￥248.34,25g（≥99%),Sigma两月[国药(Sinopharm)现货],C4H6O2,γ-丁内酯
9,CCOC(=O)C,413,能,Aladdin,￥240.90,"100ml（99.8%,电子级）",现货,C4H8O2,乙酸乙酯（Ethylacetate）
10,O=S1(=O)CCCC1,374,能,Aladdin,￥57.90,5ml（99.5%）,现货,C4H8O2S,环丁砜（Sulfolane）
11,C1CCOC1,288,能,Aladdin,￥359.90,100ml（99.9%）,现货,C4H8O,四氢呋喃(THF)
12,CC1CCCO1,270,能,Aladdin,￥39.90,100ml（99%）,现货,C5H10O3,2-甲基四氢呋喃（ 2-Methyltetrahydrofuran）
13,CC#N,208,能,Aladdin,￥99.90,"2ml（99.8%,电子级）",现货,CH3CN,乙腈(ACN)
14,COCCOCCOCCOC,191,能,Aladdin,￥49.90,100ml（99%）,现货,C8H18O4,三乙二醇二甲醚(Triethylene glycol dimethyl ether)
15,CC(=O)OC,168,能,Aladdin,￥209.90,"100ml（99.5%,无水级）",现货,C3H6O2,乙酸甲酯(Methyl acetate)
16,C1COCO1,153,能,Aladdin,￥295.90,"100ml（99.8%,无水级）",现货,C3H6O2,"1,3-二氧五环(1,3-Dioxlane)"
17,COCCOCCOCCOCCOC,126,能,Aladdin,￥194.90,5ml（99.5%）,现货,C10H22O5,四乙二醇二甲醚(Tetraethylene glycol dimethyl ether)
18,N#CCCC#N,119,能,Aladdin,￥29.90,25g（≥99%),现货,C4H4N2,丁二腈（ Succinonitrile）
19,C1COB(OCCOB2OCCCO2)OC1,115,否,,,,,,
20,COCOC,108,能,Aladdin,￥128.90,100ml（99%）,现货,C3H8O2,甲醛二甲缩醛（Formaldehyde dimethyl acetal）
21,ClCCl,104,能,Aladdin,￥199.90,500ml(99.9%),现货,CH2Cl2,二氯甲烷（Dichloromethane）
22,Cc1ccccc1,83,能,Aladdin,￥285.90,"500g(99.8%, 无水级)",现货,C7H8,甲苯（Toluene）
23,COCCOCCOC,78,能,Aladdin,￥192.90,"100g（99.5%,无水级）",现货, C6H14O3,二乙二醇二甲醚（ 2-Methoxyethyl ether）
24,CS(=O)C,73,能,Aladdin,￥59.90,"2ml（99.9%,无水级）",现货,C2H6SO,二甲基亚砜（DMSO）
25,N#CCCCCC#N,66,能,Aladdin,￥58.90,100ml（99%）,现货,C6H8N2,己二腈（Adiponitrile）
