-----------,,,,,,
0,CC1COC(=O)O1,5855,YES,Aladdin,Y305.90,"100g（99.7%,无水级）"
1,O=C1OCCO1,2877,YES,Aladdin,Y99.90,"100g（99%,电子级）"
2,CCOC(=O)OCC,2482,YES,Aladdin,Y31.90,100ml（99%）
3,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,754,YES,Aladdin,Y51.90,5g(98%)
4,[B-](F)(F)(F)F.CC[N+](CC)(CC)CC,733,YES,Aladdin,Y35.90,5g(99%)
5,COCCOC,719,YES,Aladdin,Y39.90,5g(98%)
6,CCOC(=O)OC,673,YES,Aladdin,Y64.90,25ml（≥98%)
7,COC(=O)OC,581,YES,Aladdin,Y219.90,"100ml（99%,电子级）"
8,O=C1CCCO1,474,YES,Sigma-Aldrich,Y248.34,25g（≥99%)
9,CCOC(=O)C,413,YES,Aladdin,Y240.90,"100ml（99.8%,电子级）"
10,O=S1(=O)CCCC1,374,YES,Aladdin,Y57.90,5ml（99.5%）
11,C1CCOC1,288,YES,Aladdin,Y359.90,100ml（99.9%）
12,CC1CCCO1,270,YES,Aladdin,Y39.90,100ml（99%）
13,CC#N,208,YES,Aladdin,Y99.90,"2ml（99.8%,电子级）"
14,COCCOCCOCCOC,191,YES,Aladdin,Y49.90,100ml（99%）
15,CC(=O)OC,168,YES,Aladdin,Y209.90,"100ml（99.5%,无水级）"
16,C1COCO1,153,YES,Aladdin,Y295.90,"100ml（99.8%,无水级）"
17,COCCOCCOCCOCCOC,126,YES,Aladdin,Y194.90,5ml（99.5%）
18,N#CCCC#N,119,YES,Aladdin,Y29.90,25g（≥99%)
19,C1COB(OCCOB2OCCCO2)OC1,115,NO,,,
20,COCOC,108,YES,Aladdin,Y128.90,100ml（99%）
21,ClCCl,104,YES,Aladdin,Y199.90,500ml(99.9%)
22,Cc1ccccc1,83,YES,Aladdin,Y285.90,"500g(99.8%, 无水级)"
23,COCCOCCOC,78,YES,Aladdin,Y192.90,"100g（99.5%,无水级）"
24,CS(=O)C,73,YES,Aladdin,Y59.90,"2ml（99.9%,无水级）"
25,N#CCCCCC#N,66,YES,Aladdin,Y58.90,100ml（99%）
26,FC(F)C(F)(F)COC(F)(F)C(F)F,66,YES,Aladdin,Y185.90,25g（≥99.5%)
27,FC1COC(=O)O1,65,YES,Aladdin,Y46.90,25g（≥98%)
28,COC(=O)OCF,55,NO,,,
29,C1=CC=NC(=C1)C#N,54,YES,Aladdin,Y29.90,25g（≥98%)
30,CCOCCOCC,54,YES,Aladdin,Y71.90,5ml（99.5%）
31,[B-](F)(F)(F)F.CC[N+](C)(CC)CC,49,YES,Aladdin,Y40.90,5g(98%)
32,[O-]S(=O)(=O)C(F)(F)F.CCCC[N+](CCCC)(CCCC)CCCC,43,YES,Aladdin,Y94.90,5g(98%)
33,CCCC#N,40,YES,Sigma-Aldrich,Y510.75,100ml（99%）
34,COCCOCC(F)(F)F,40,YES,Macklin,Y241.00,100mg(95%)
35,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,39,YES,Aladdin,Y102.90,5g(99%)
36,CCS(C)(=O)=O,33,YES,Aladdin,Y264.90,5g(98%)
37,[B-](C1=CC=CC=C1)(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.CCCC[N+](CCCC)(CCCC)CCCC,33,YES,Aladdin,Y511.90,1g(99%)
38,N#CCCCC#N,31,YES,Sigma-Aldrich,Y878.41,25ml（99%)
39,CCS(=O)(=O)CC1CCCCC1,31,NO,,,
40,C[Si](C)(C)O[Si](C)(CCC1COC(=O)O1)O[Si](C)(C)C,30,NO,,,
41,COC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,29,YES,Aladdin,Y120.90,25g(98%)
42,CC1CCS(=O)(=O)C1,28,YES,Aladdin,Y196.90,5g(98%)
43,C[Si](C)(C)OCCC#N,25,NO,,,
44,CCN1C=C[N+](=C1)C.O=C1O[B-](F)(F)OC1=O,24,,,,
45,CC[N+](CC)(CC)CC.[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,24,,,,
46,CCN1C=C[N+](=C1)C.[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,24,NO,,,
47,CC[N+](CC)(CC)CC.O=C1O[B-](F)(F)OC1=O,24,NO,,,
48,C1(C(OC(=O)O1)F)F,23,YES,Macklin,Y1170.00,10g(98%)
49,CCCOC(=O)OC,21,YES,Aladdin,Y499.90,5g(97%)
50,N#CCCOB(OCCC#N)OCCC#N,20,YES,Aladdin,Y279.90,1g(98%)
51,FC(F)(F)COCCOCC(F)(F)F,20,YES,Confluore,Y600.00,250mg（98%）
52,O=C1OCCC1F,20,NO,,,
53,COCCOCC(F)(F)C(F)F,20,YES,长沙秉航新材料有限公司,Y1100.00,5g 
54,[B-](F)(F)(F)F.CCN1C=C[N+](=C1)C,20,YES,Aladdin,Y35.90,5g（98%）
55,FC(F)(F)C(F)(F)COC(F)(F)C(F)(F)F,20,NO,,,
56,C[Si](C)(C)O[Si](C)(C)CCC1COC(=O)O1,20,NO,,,
57,COC(=O)OCCF,19,NO,,,
58,CCCCOCCOCCCC,19,NO,,,
59,CCCCCCC1COC(=O)O1,18,NO,,,
60,CCCCCCCCC1COC(=O)O1,18,NO,,,
61,CCCCCCCCCC1COC(=O)O1,18,NO,,,
62,CCCCCCCCCCC1COC(=O)O1,18,NO,,,
63,C[N+](C)(C)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,17,YES,Aladdin,Y249.90,250mg（97%）
64,CCOCC,16,NO,,,
65,CC[N+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[O-],16,YES,Aladdin,Y79.90,5g(99%)
66,O=C(OCF)OCF,15,NO,,,
67,COB(OC)OC,15,YES,Aladdin,Y79.90,10ml(99.9%)
68,FC(F)C(F)(F)COCCOCC(F)(F)C(F)F,15,NO,,,
69,CCOCCOC,15,NO,,,
70,O=C1CC(F)CO1,15,NO,,,
71,CCCC[N+]1(CCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,15,YES,Aladdin,Y99.90,5g(99%)
72,CN(C)S(=O)(=O)C,15,YES,Aladdin,Y399.90,5g(98%)
73,CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,15,NO,,,
